mcg,gvh,lip,chg,aac,alm1,am2,cl
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0.565-1,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0.715-1,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0.565-0.715,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0.565-1,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0.565-1,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0-0.335,0-0.615,cp
0.555-0.755,0-0.565,0-0.74,all,0-0.565,0.355-0.575,0-0.615,cp
0-0.555,0-0.565,0-0.74,all,0.565-0.715,0-0.335,0-0.615,cp
